PROVINCE / LGU,economic_dynamism,government,infrastructure,resiliency,if_3_clusters,if_4_clusters,if_5_clusters,if_6_clusters,if_7_clusters,if_8_clusters,if_9_clusters,if_10_clusters
Candelaria (ZA),4.2516,9.3382,5.5158,13.3273,1,1,1,1,1,1,1,1
Candijay,5.4916,6.9242,6.0057,13.7117,1,1,2,2,2,5,6,6
Candon,5.9955,9.8423,5.6469,14.2922,2,2,3,3,3,3,3,3
Candoni,3.588,7.6506,3.6686,13.3912,1,1,2,4,4,4,4,4
Canlaon,4.2526,7.2373,4.3921,11.8859,1,1,2,2,2,2,2,2
Cantilan,5.7082,7.9298,4.9249,9.0639,3,3,4,5,5,6,7,7
Caoayan,5.0374,10.1709,5.6401,14.266,2,2,3,3,3,3,3,3
Capalonga,3.7615,7.6144,3.7876,11.8033,1,1,2,4,4,4,4,4
Capas,5.188,9.8078,6.5357,13.3097,2,2,3,3,3,3,3,3
Capoocan,3.933,7.4632,4.5817,10.5068,1,1,2,2,2,2,2,2
Capul,3.7416,7.9184,5.611,8.8039,3,3,4,5,5,6,7,7
Caraga,4.4156,9.0424,4.7957,13.3379,1,1,1,1,1,1,1,1
Caramoan,2.234,6.9758,3.2589,12.0839,1,1,2,4,4,4,4,4
Caramoran,2.8,8.7351,4.9856,10.1047,3,3,4,5,5,6,7,7
Carasi,3.3962,9.195,4.8217,12.7096,1,1,1,1,1,1,1,1
Carcar,4.6121,8.9104,5.5017,13.4758,1,1,1,1,1,1,1,1
Cardona,4.9392,10.3604,5.7179,14.2755,2,2,3,3,3,3,3,3
Carigara,5.0765,8.7521,5.551,11.8058,1,1,1,1,1,1,1,1
Carles,4.1671,9.2958,5.4708,11.8878,1,1,1,1,1,1,1,1
Carmen (AN),5.4285,9.1658,5.6488,12.9781,2,2,3,3,3,3,3,3
Carmen (BL),5.2815,9.4166,4.7991,15.1789,2,2,3,3,3,3,5,5
Carmen (CU),7.0132,6.0996,5.7753,11.568,1,1,2,2,2,5,6,6
Carmen (DN),5.736,11.2438,5.768,14.2125,2,2,3,3,3,3,3,3
Carmen (NC),3.5607,9.1445,5.5576,13.5009,1,1,1,1,1,1,1,1
Carmen (SS),6.4498,9.6075,6.2914,12.2546,2,2,3,3,3,3,3,3
Carmona,9.8337,11.3744,7.7039,13.7066,2,4,5,6,6,7,8,8
Carranglan,2.9395,7.3959,5.4171,13.397,1,1,2,2,2,2,2,2
Carrascal,6.9475,8.3707,3.3694,12.8249,1,1,1,1,1,1,1,1
Casiguran (AU),4.0154,7.8418,4.968,11.249,1,1,2,2,2,2,2,2
Casiguran (SO),3.7883,6.2528,4.7586,12.8134,1,1,2,2,2,2,2,2
Castilla,4.8366,10.26,6.1227,13.2994,2,2,3,3,3,3,3,3
Castillejos,6.5818,10.0392,6.7386,13.6892,2,2,3,3,3,3,3,3
Cataingan,4.5194,9.2254,5.0006,13.3917,1,1,1,1,1,1,1,1
Catanauan,4.0433,5.9046,3.0645,12.8718,1,1,2,4,4,4,4,4
Catarman (CM),8.2221,11.8774,7.5592,14.5602,2,2,3,3,3,3,5,5
Catarman (NS),5.4907,4.5445,5.9841,13.0351,1,1,2,2,2,2,2,2
Catbalogan,4.2478,9.2907,5.9304,11.3142,1,1,1,1,1,1,1,1
Cateel,4.4304,8.7703,5.1274,12.0113,1,1,1,1,1,1,1,1
Catigbian,7.5312,9.9788,5.9803,13.5116,2,2,3,3,3,3,5,5
Catmon,5.6528,5.8641,5.3197,13.4515,1,1,2,2,2,5,6,6
Catubig,3.3087,5.8271,4.6825,12.5356,1,1,2,2,2,2,2,2
Cauayan (IA),3.8258,9.2419,6.4471,13.5117,1,1,1,1,1,1,1,1
Cauayan (NO),3.1524,8.6081,4.4028,11.1669,1,1,2,4,4,4,4,4
Cavinti,4.4485,9.3129,5.6625,13.6339,2,2,3,3,3,3,3,3
Cavite,3.7068,8.3916,6.9768,13.6046,1,1,1,1,1,1,1,1
Cawayan,4.2932,6.5221,4.0229,10.7606,1,1,2,2,2,2,2,2
Cebu,8.0049,11.7988,8.5319,12.1804,2,2,3,3,3,3,5,5
Cervantes,5.1244,9.2947,5.3478,13.7892,2,2,3,3,3,3,3,3
Clarin (BL),6.2713,11.3622,6.4757,12.203,2,2,3,3,3,3,3,3
Clarin (MC),4.5378,6.9038,5.9858,11.5664,1,1,2,2,2,5,6,6
Claver,5.4688,10.0862,6.0438,13.8178,2,2,3,3,3,3,3,3
Claveria (CG),5.379,9.9753,5.1868,12.2871,1,1,1,1,1,1,1,1
Claveria (MO),5.3309,8.4058,5.3676,13.3057,1,1,1,1,1,1,1,1
Claveria (MS),4.0801,6.2156,3.0339,12.4735,1,1,2,4,4,4,4,4
Columbio,4.4899,8.7374,4.2066,13.3912,1,1,2,4,4,4,4,4
Compostela (CU),8.2834,7.8623,5.9528,13.6074,2,2,3,3,3,3,3,3
Compostela (CV),5.677,9.9277,7.9063,13.6451,2,2,3,3,3,3,5,5
Concepcion,3.5889,6.8646,3.0517,11.4682,1,1,2,4,4,4,4,4
Concepcion (RN),4.4274,7.1277,3.1874,10.8241,1,1,2,4,4,4,4,4
Concepcion (TC),4.1936,9.7085,6.8324,11.9094,1,1,1,1,1,1,1,1
Conner,4.2917,8.9098,3.7199,13.3832,1,1,2,4,4,4,4,4
Consolacion,6.7528,6.5713,6.6233,13.6233,1,1,2,2,2,5,6,6
Corcuera,3.641,8.9437,2.2949,12.9772,1,1,2,4,4,4,4,4
Cordon,4.6983,9.6324,6.0712,13.5076,2,2,3,3,3,3,3,3
Cordova,7.2675,9.418,6.4694,13.7705,2,2,3,3,3,3,5,5
Corella,6.4716,10.3907,6.5795,13.5004,2,2,3,3,3,3,3,3
Coron,5.4108,8.1159,5.8477,12.6,1,1,2,2,2,5,6,6
Cortes (BL),5.8592,9.6095,6.3533,8.7823,2,2,3,3,3,3,3,3
Cortes (SS),4.9289,8.6754,4.7748,12.6111,1,1,1,1,1,1,1,1
Cuartero,5.2609,9.024,6.0125,12.1795,1,1,1,1,1,1,1,1
Cuenca,7.3547,6.4285,5.8681,12.1578,1,1,2,2,2,5,6,6
Culaba,5.4357,6.5498,5.4787,10.2824,1,1,2,2,2,5,6,6
Culasi,5.8735,9.209,6.3815,13.1756,2,2,3,3,3,3,3,3
Culion,5.4049,7.2824,4.951,13.4325,1,1,2,2,2,5,6,6
Currimao,4.2696,9.2207,5.5324,13.5065,1,1,1,1,1,1,1,1
Cuyapo,3.3338,8.4941,5.9019,13.1503,1,1,1,1,1,1,1,1
Cuyo,5.0255,5.9634,5.4719,12.0179,1,1,2,2,2,2,2,2
Daet,5.1578,8.961,8.5587,11.8145,2,2,3,3,3,3,5,5
Dagami,4.8451,6.815,5.2083,7.7798,3,3,4,5,5,6,7,7
Dagohoy,6.3415,7.5367,5.3911,12.7873,1,1,2,2,2,5,6,6
Daguioman,3.7789,3.5092,4.7694,12.7286,1,1,2,2,2,2,2,2
Dagupan,6.5257,12.6885,8.2775,14.2655,2,2,3,3,3,3,5,5
Dalaguete,5.3843,9.4063,5.2989,13.3656,2,2,3,3,3,3,3,3
Damulog,5.8404,9.2879,4.9052,13.5332,2,2,3,3,3,3,3,3
Danao (BL),5.2874,8.6457,5.1474,11.8124,1,1,1,1,1,1,1,1
Danao (CU),6.6347,8.8334,5.8817,12.2594,2,2,3,3,3,3,3,3
Dangcagan,5.0037,9.3231,5.2294,12.2021,1,1,1,1,1,1,1,1
Danglas,4.4027,9.3551,5.4555,12.9302,1,1,1,1,1,1,1,1
Dao,4.8503,9.7521,5.7773,11.5109,1,1,1,1,1,1,1,1
Dapa,6.1709,7.1909,6.2872,11.8717,1,1,2,2,2,5,6,6
Dapitan,5.2165,8.0748,5.5107,13.4395,1,1,1,1,1,1,1,1
Cotabato,5.7185,12.0127,8.5138,13.9656,2,2,3,3,3,3,5,5
Daraga,3.7577,9.8264,6.0365,14.0619,2,2,3,3,3,3,3,3
Daram,4.3448,8.7021,4.6839,13.7632,1,1,1,1,1,1,1,1
Dasmarinas,12.3205,12.5895,9.821,14.2077,2,4,5,6,6,7,8,8
Dasol,6.0797,9.8906,5.0426,13.5215,2,2,3,3,3,3,3,3
Datu Abdullah Sangki,4.5551,11.4246,5.3627,13.8193,2,2,3,3,3,3,3,3
Datu Anggal Midtimbang,3.1523,8.4929,5.8291,12.7111,1,1,1,1,1,1,1,1
Datu Blah TSinsuat,3.3817,2.8555,4.0511,7.8777,3,3,4,5,5,6,7,7
Datu Hoffer Ampatuan,3.3928,8.029,3.2278,10.8755,1,1,2,4,4,4,4,4
Datu Odin Sinsuat,3.0552,8.7704,4.2903,12.1645,1,1,2,4,4,4,4,4
Datu Paglas,5.5329,9.6629,4.6426,13.5005,1,1,1,1,1,1,1,1
Datu Piang,3.2082,7.0856,4.3405,10.4553,1,1,2,4,4,4,4,4
Datu Salibo,3.7386,6.4415,5.4571,11.5556,1,1,2,2,2,2,2,2
Datu Saudi-Ampatuan,3.5773,6.8816,3.9337,12.7771,1,1,2,4,4,4,4,4
Datu Unsay,3.5725,7.6165,4.8694,7.769,3,3,4,5,5,6,7,7
Dauin,6.6433,7.5526,3.4499,12.2946,1,1,1,1,1,1,1,1
Dauis,6.549,9.045,5.683,10.8951,2,2,3,3,3,3,3,3
Davao,10.5196,15.4591,11.4187,15.3406,2,4,5,6,6,7,8,8
Del Carmen,7.2687,10.6558,7.0893,13.7106,2,2,3,3,3,3,5,5
Del Gallego,2.8669,8.2527,3.8229,13.2579,1,1,2,4,4,4,4,4
Delfin Albano,3.3612,10.036,4.6577,13.301,1,1,1,1,1,1,1,1
Diadi,3.6328,9.4977,3.3134,12.1328,1,1,2,4,4,4,4,4
Diffun,4.7505,9.2104,5.5977,13.338,2,2,3,3,3,3,3,3
Digos,6.0201,8.8391,7.4645,14.2137,1,1,2,2,2,5,6,6
Dilasag,4.5451,8.9732,3.3172,12.6716,1,1,2,4,4,4,4,4
Dimasalang,4.3518,6.6245,2.8714,11.529,1,1,2,4,4,4,4,4
Dimataling,5.2752,10.2228,5.371,14.1475,1,1,1,1,1,1,1,1
Dimiao,5.1991,9.6404,5.4392,13.2773,2,2,3,3,3,3,3,3
Dinagat,5.9923,9.7643,5.426,13.7993,2,2,3,3,3,3,3,3
Dinalungan,3.5771,7.2992,5.3138,13.3807,1,1,2,2,2,2,2,2
Dinalupihan,5.0118,10.657,6.575,13.3998,2,2,3,3,3,3,3,3
Dinapigue,2.1751,7.8148,2.7715,13.151,1,1,2,4,4,4,4,4
Dinas,4.6361,8.9018,5.0872,13.7044,1,1,1,1,1,1,1,1
Dingalan,5.3525,9.5324,6.0785,13.6765,2,2,3,3,3,3,3,3
Dingle,5.2947,10.5114,5.7601,12.2533,2,2,3,3,3,3,3,3
Dingras,3.9625,8.8977,5.6743,13.3529,1,1,1,1,1,1,1,1
Dipaculao,5.6565,9.2872,4.8282,13.9776,1,1,1,1,1,1,1,1
Diplahan,5.1958,9.1788,5.0887,13.5993,2,2,3,3,3,3,3,3
Dipolog,7.7698,9.9248,6.9124,13.4085,2,2,3,3,3,3,5,5
Ditsaan-Ramain,3.7389,8.9547,5.0193,12.658,1,1,1,1,1,1,1,1
Divilacan,1.9422,9.0784,3.7313,11.9417,1,1,2,4,4,4,4,4
Dolores (AA),5.7786,10.1589,5.5159,12.9464,2,2,3,3,3,3,3,3
Dolores (ES),5.3463,6.2847,5.3856,11.4027,1,1,2,2,2,5,6,6
Dolores (QN),4.6939,8.6522,5.2924,13.3251,1,1,1,1,1,1,1,1
Don Carlos,4.3908,8.7643,5.2161,13.3559,1,1,1,1,1,1,1,1
Don Marcelino,5.6256,9.5869,4.3737,12.7404,1,1,1,1,1,1,1,1
Don Victoriano Chiongbian,3.4273,8.0557,4.7624,13.1574,1,1,1,1,1,1,1,1
Dona Remedios Trinidad,4.1488,8.6712,5.0508,11.4094,1,1,1,1,1,1,1,1
Donsol,4.1325,8.5292,5.5192,13.1247,1,1,1,1,1,1,1,1
Duenas,5.0004,8.6271,5.3869,13.5211,1,1,1,1,1,1,1,1
Duero,5.3478,8.4941,5.3395,12.292,1,1,2,2,2,5,6,6
Dulag,5.592,8.9199,3.8409,11.7666,1,1,1,1,1,1,1,1
Dumaguete,5.5095,8.1588,6.0438,10.7117,1,1,2,2,2,5,6,6
Dumalag,5.1678,9.1766,5.4144,13.427,2,2,3,3,3,3,3,3
Dumalinao,5.3966,8.246,5.9275,12.6422,1,1,2,2,2,5,6,6
Dumalneg,4.4987,10.1691,6.0472,13.3043,2,2,3,3,3,3,3,3
Dumangas,5.5294,9.5653,6.1387,13.7696,2,2,3,3,3,3,3,3
Dumanjug,6.6199,7.3019,6.2793,12.096,1,1,2,2,2,5,6,6
Dumaran,4.8636,7.3701,2.5484,12.98,1,1,2,4,4,4,4,4
Dumarao,4.1182,8.7212,5.8574,13.241,1,1,1,1,1,1,1,1
Dumingag,5.0277,8.0056,4.6101,12.8426,1,1,2,2,2,2,2,2
Dupax Del Norte,3.8996,9.2035,5.8599,13.483,2,2,3,3,3,3,3,3
Dupax Del Sur,2.7154,8.5382,1.8322,13.3054,1,1,2,4,4,4,4,4
E. B. Magalona,4.0284,9.0558,5.3175,12.8505,1,1,1,1,1,1,1,1
Echague,3.7959,9.8756,5.5326,14.3394,1,1,1,1,1,1,1,1
El Nido,6.0694,9.2902,6.0649,13.8547,2,2,3,3,3,3,3,3
El Salvador,4.7276,9.2348,6.1882,13.5772,1,1,1,1,1,1,1,1
Enrile,4.2229,8.7577,5.7243,10.3656,3,3,4,5,5,6,7,7
Enrique Villanueva,4.8738,9.123,5.9986,13.8252,1,1,1,1,1,1,1,1
Escalante,3.3146,8.5027,4.8915,10.2039,3,3,4,5,5,6,7,7
Esperanza (AS),4.3364,9.0265,5.4972,13.2849,1,1,1,1,1,1,1,1
Esperanza (MS),4.2955,8.6306,4.9479,9.7989,3,3,4,5,5,6,7,7
Esperanza (SK),5.4364,9.5912,5.981,13.0404,2,2,3,3,3,3,3,3
Estancia,4.4358,8.4806,5.5323,13.3056,1,1,1,1,1,1,1,1
Famy,5.7781,7.2272,5.6338,12.8347,1,1,2,2,2,5,6,6
Ferrol,4.7587,6.9686,5.1687,12.9245,1,1,2,2,2,2,2,2
Flora,5.3973,9.1565,4.8311,12.2143,1,1,1,1,1,1,1,1
Floridablanca,4.493,9.2931,5.9039,13.3187,1,1,1,1,1,1,1,1
Gabaldon,3.7818,9.9569,6.2002,13.446,2,2,3,3,3,3,3,3
Gainza,3.8083,6.2488,2.6835,8.4798,3,3,4,5,5,6,7,7
Galimuyod,4.2768,9.1468,3.9307,13.7848,1,1,2,4,4,4,4,4
Gamay,4.3251,8.8033,4.6882,11.5414,1,1,1,1,1,1,1,1
Gamu,3.7573,9.8718,4.8688,12.2366,1,1,1,1,1,1,1,1
Ganassi,2.99,2.651,0.1241,12.2911,3,3,4,5,5,6,7,9
Gandara,2.5229,6.4755,4.103,13.1542,1,1,2,4,4,4,4,4
Gapan,3.1728,9.0863,6.4686,13.6528,1,1,1,1,1,1,1,1
Garchitorena,2.0583,6.3756,2.253,8.0531,3,3,4,5,5,6,7,7
Garcia-Hernandez,6.323,8.8204,4.8461,13.382,1,1,2,2,2,5,6,6
Gasan,4.7166,8.6489,5.9179,13.3422,1,1,1,1,1,1,1,1
Gattaran,3.8856,8.6106,4.5692,12.9943,1,1,1,1,1,1,1,1
Gen S.K Pendatun,3.1518,8.3156,5.4107,12.3212,1,1,1,1,1,1,1,1
Gen. Emilio Aguinaldo,6.4114,7.1269,6.5006,13.1705,1,1,2,2,2,5,6,6
Gen. Mariano Alvarez,6.0568,9.8949,6.1343,12.222,2,2,3,3,3,3,3,3
General Luna (SN),10.7462,8.9117,11.2604,13.2896,2,4,5,6,6,7,8,8
General Luna (QN),4.8247,8.5703,4.546,12.9456,1,1,1,1,1,1,1,1
General Macarthur,5.4111,1.1518,0.4348,0,3,3,4,5,7,8,9,10
General Mamerto Natividad,4.0796,8.3612,5.5963,10.849,1,1,1,1,1,1,1,1
General Nakar,3.5323,9.3962,5.1876,13.4383,1,1,1,1,1,1,1,1
General Santos,6.9222,12.0035,6.7156,14.114,2,2,3,3,3,3,5,5
General Tinio,3.0865,8.0501,5.3319,13.275,1,1,1,1,1,1,1,1
General Trias,8.9119,11.3377,6.8622,13.6507,2,2,3,3,3,3,5,5
Gerona,4.0003,9.7353,5.0925,13.863,1,1,1,1,1,1,1,1
Getafe,5.1733,9.6787,4.1081,12.7589,1,1,1,1,1,1,1,1
Gigaquit,4.7393,9.1919,5.7453,13.4636,2,2,3,3,3,3,3,3
Gigmoto,2.3004,7.2501,5.4902,11.3929,1,1,2,2,2,2,2,2
Ginatilan,6.2388,7.6552,6.5648,14.2805,1,1,2,2,2,5,6,6
Gingoog,7.7291,11.9302,8.2486,14.1358,2,2,3,3,3,3,5,5
Giporlos,7.3644,8.7908,5.187,11.9105,1,1,2,2,2,5,6,6
Gitagum,5.3918,8.9677,7.2309,13.1794,1,1,2,2,2,5,6,6
Glan,4.6682,10.1204,6.2914,13.7023,2,2,3,3,3,3,3,3
Gloria,5.5326,6.8048,4.622,12.91,1,1,2,2,2,5,6,6
Goa,3.2314,8.495,5.6623,13.2887,1,1,1,1,1,1,1,1
Godod,5.3401,7.2956,3.9057,12.7732,1,1,2,4,4,4,4,4
Gonzaga,3.5062,9.9375,5.0411,13.3682,1,1,1,1,1,1,1,1
Governor Generoso,4.738,8.4519,4.9774,13.4534,1,1,1,1,1,1,1,1
Gregorio Del Pilar,4.2846,9.4275,6.1444,13.3139,2,2,3,3,3,3,3,3
Guagua,5.9303,10.4662,6.3643,13.4154,2,2,3,3,3,3,3,3
Gubat,4.5443,9.067,5.3455,12.7114,1,1,1,1,1,1,1,1
Guiguinto (BU),7.1726,10.2214,6.3817,13.4935,2,2,3,3,3,3,5,5
Guihulngan,4.2329,6.5749,6.6348,12.162,1,1,2,2,2,2,2,2
Guimba,4.1342,9.3074,6.0064,13.3535,2,2,3,3,3,3,3,3
Guimbal,6.9222,9.9284,6.8236,12.859,2,2,3,3,3,3,5,5
Guinayangan,4.7101,9.1194,5.3315,13.9941,1,1,1,1,1,1,1,1
Guindulman,5.4963,9.1838,5.4317,12.8922,2,2,3,3,3,3,3,3
Guindulungan,3.1125,8.2252,5.5647,12.8497,1,1,1,1,1,1,1,1
Guinobatan,2.61,9.3324,4.2631,12.8363,1,1,1,1,1,1,1,1
Guinsiliban,4.555,10.3829,6.9273,14.1538,2,2,3,3,3,3,3,3
Guipos,5.6037,7.9747,3.0778,13.4082,1,1,2,4,4,4,4,4
Guiuan,5.5239,7.3374,5.7042,12.0693,1,1,2,2,2,5,6,6
Gumaca,4.1929,9.3335,5.8811,14.5999,2,2,3,3,3,3,3,3
Gutalac,4.8487,8.6463,3.0873,14.1495,1,1,2,4,4,4,4,4
Hadji Panglima Tahil,3.3833,0,0.0235,0,3,3,4,5,7,8,9,10
Hagonoy (BU),4.8186,6.8351,5.764,13.0713,1,1,2,2,2,2,2,2
Hagonoy (DS),7.4671,11.4491,6.6901,14.3032,2,2,3,3,3,3,5,5
Hamtic,2.8718,3.7743,0.3566,9.2812,3,3,4,5,5,6,7,9
Hermosa,5.0382,8.9146,5.7918,12.0104,1,1,1,1,1,1,1,1
Hernani,5.5607,5.8266,5.6462,11.6916,1,1,2,2,2,5,6,6
Hilongos,5.1864,9.1331,5.1907,11.4255,1,1,1,1,1,1,1,1
Himamaylan,3.5377,7.3994,5.6227,13.3052,1,1,2,2,2,2,2,2
Hinabangan,2.7863,7.7829,4.7291,12.3831,1,1,2,2,2,2,2,2
Hinatuan,4.7102,8.5883,5.5171,13.3536,1,1,1,1,1,1,1,1
Hindang,6.9844,9.9,5.5535,14.2841,2,2,3,3,3,3,3,3
Hingyon,3.1314,6.3043,4.0536,10.5561,1,1,2,4,4,4,4,4
Hinigaran,3.3817,6.3417,5.0733,11.324,1,1,2,2,2,2,2,2
Hinobaan,3.7933,8.7415,5.4647,11.5139,1,1,1,1,1,1,1,1
Hinunangan,5.6282,8.9983,2.8855,13.5075,1,1,2,4,4,4,4,4
Hinundayan,6.7753,8.2623,6.5083,12.9873,2,2,3,3,3,3,3,3
Hungduan,3.854,8.4403,3.9587,13.241,1,1,2,4,4,4,4,4
Iba,4.0409,8.1021,4.7527,12.2983,1,1,1,1,1,1,1,1
Ibaan,4.7549,8.5221,5.4087,9.9403,3,3,4,5,5,6,7,7
Ibajay,5.9535,8.7092,4.4586,9.5631,3,3,4,5,5,6,7,7
Igacos,5.0228,9.5076,6.9214,13.9025,2,2,3,3,3,3,5,5
Igbaras,4.812,8.8121,4.971,13.5569,1,1,1,1,1,1,1,1
Iguig,4.471,9.1889,5.8082,13.475,1,1,1,1,1,1,1,1
Ilagan,3.7981,11.9185,6.7203,13.2528,2,2,3,3,3,3,3,3
Iligan,4.3923,8.2723,4.5878,13.5736,1,1,2,4,4,4,4,4
Ilog,3.5973,3.2849,5.115,12.4408,1,1,2,2,2,2,2,2
Iloilo,5.6429,12.0981,6.56,13.2081,2,2,3,3,3,3,3,3
Imelda,6.3463,8.6641,5.6129,13.0544,1,1,2,2,2,5,6,6
Impasug-Ong,4.5829,8.9015,5.0991,13.5557,1,1,1,1,1,1,1,1
Imus,9.5982,11.3073,9.0919,14.2925,2,4,5,6,6,7,8,8
Inabanga,6.0835,8.8318,5.2983,12.2153,1,1,2,2,2,5,6,6
Indanan,3.6548,6.5072,0.081,0.2719,3,3,4,5,7,8,9,10
Indang,4.5286,8.641,5.574,12.8827,1,1,1,1,1,1,1,1
Infanta (PS),5.2285,9.8067,5.3045,13.6759,2,2,3,3,3,3,3,3
Infanta (QN),4.4443,9.7518,5.4278,13.4293,1,1,1,1,1,1,1,1
Initao,7.1132,9.7378,7.144,13.5534,2,2,3,3,3,3,5,5
Inopacan,5.7115,7.919,5.1264,13.5456,1,1,2,2,2,5,6,6
Ipil,5.6037,8.5637,5.6444,11.6573,1,1,1,1,1,1,1,1
Iriga,4.7163,11.0844,8.0991,14.4298,2,2,3,3,3,3,5,5
Irosin,4.2745,8.4054,4.6829,11.4211,1,1,1,1,1,1,1,1
Isabel,4.8489,5.1471,5.3274,11.8772,1,1,2,2,2,2,2,2
Isabela (BAS),4.9541,8.938,5.5608,13.3307,1,1,1,1,1,1,1,1
Isabela (NO),3.804,6.4948,4.9665,12.3381,1,1,2,2,2,2,2,2
Isulan,6.9998,11.628,7.4089,14.5605,2,2,3,3,3,3,5,5
Itbayat,3.1513,8.2023,5.1124,12.9538,1,1,1,1,1,1,1,1
Itogon,5.3283,7.0281,5.2414,13.5843,1,1,2,2,2,5,6,6
Ivana,1.9735,1.4354,4.6103,12.8058,1,1,2,2,2,2,2,2
Ivisan,5.5305,9.918,6.0292,14.6191,2,2,3,3,3,3,3,3
Jabonga,5.487,7.2774,5.5746,11.3491,1,1,2,2,2,5,6,6
Jaen,3.3289,9.6018,4.9977,13.0846,1,1,1,1,1,1,1,1
Jagna,10.1851,10.2038,7.5217,13.5611,2,4,5,6,6,7,8,8
Jalajala,4.4434,9.4536,5.7057,13.298400000000001,1,1,1,1,1,1,1,1
Jamindan,4.2685,8.7209,5.6026,12.5323,1,1,1,1,1,1,1,1
Janiuay,4.6106,9.8585,4.9575,13.4374,1,1,1,1,1,1,1,1
Jaro,5.3403,7.9257,4.8619,11.5432,1,1,2,2,2,2,2,2
Jasaan,4.8432,9.4298,5.1774,13.3772,1,1,1,1,1,1,1,1
Javier,4.4755,9.8925,5.0528,13.4438,1,1,1,1,1,1,1,1
Jiabong,3.9964,8.0826,6.4202,13.6059,1,1,1,1,1,1,1,1
Jimalalud,5.0157,6.5523,4.6537,10.9161,1,1,2,2,2,2,2,2
Jimenez,6.1548,10.158,5.9839,11.6545,2,2,3,3,3,3,3,3
Jipapad,5.5836,6.4372,4.7109,9.9081,3,3,4,5,5,6,7,7
Jolo,4.3834,0.707,0.1982,4.0037,3,3,4,5,7,8,9,10
Jomalig,4.2253,6.8746,4.7112,11.3561,1,1,2,2,2,2,2,2
Jones,2.7543,9.3135,4.728,12.7788,1,1,1,1,1,1,1,1
Jordan,6.8348,9.0811,6.9049,11.866,2,2,3,3,3,3,3,3
Jose Abad Santos,4.4411,6.522,4.1362,12.6117,1,1,2,2,2,2,2,2
Jose Dalman,5.961,7.9873,5.8018,14.1971,1,1,2,2,2,5,6,6
Jose Panganiban,2.5446,7.988,4.1281,12.8663,1,1,2,4,4,4,4,4
Josefina,5.6107,7.543,5.1369,12.2961,1,1,2,2,2,5,6,6
Jovellar,2.3097,8.2705,3.9872,11.7853,1,1,2,4,4,4,4,4
Juban,2.4621,6.3533,1.2546,10.1077,3,3,4,5,5,6,7,9
Julita,5.8928,8.5825,5.7124,12.8418,1,1,2,2,2,5,6,6
Kabacan,5.4125,11.3749,7.4646,15.3936,2,2,3,3,3,3,5,5
Kabankalan,4.562,9.8264,6.476,13.8422,2,2,3,3,3,3,3,3
Kabasalan,4.2876,5.4778,4.7905,11.5236,1,1,2,2,2,2,2,2
Kabayan,5.2393,7.9793,5.8546,11.4697,1,1,2,2,2,5,6,6
Kabugao,3.9295,6.7272,4.6421,13.0006,1,1,2,2,2,2,2,2
Kabuntalan,3.088,7.0179,6.1412,13.8142,1,1,2,2,2,2,2,2
Kadingilan,4.683,8.8603,4.7982,13.5963,1,1,1,1,1,1,1,1
Kalamansig,4.6407,9.0937,5.3899,13.2718,1,1,1,1,1,1,1,1
Kalawit,5.402,6.6388,4.9028,13.5614,1,1,2,2,2,5,6,6
Kalayaan (LA),4.2872,9.3362,5.4553,13.4095,1,1,1,1,1,1,1,1
Kalayaan (PN),4.0751,4.4143,3.5767,12.07,1,1,2,2,2,2,2,2
Kalibo,6.7799,11.492,7.2797,12.1647,2,2,3,3,3,3,5,5
Kalilangan,4.2279,9.0399,4.8991,12.7347,1,1,1,1,1,1,1,1
Kalingalan Caluang,3.3833,0,0.0601,0,3,3,4,5,7,8,9,10
Kananga,5.2103,8.9178,5.2205,12.0158,1,1,1,1,1,1,1,1
Kapalong,6.2676,10.1367,5.5917,13.574,2,2,3,3,3,3,3,3
Kapangan,4.9951,8.7128,4.7873,12.6126,1,1,1,1,1,1,1,1
Kapatagan (LN),4.465,9.5538,5.7646,13.7737,2,2,3,3,3,3,3,3
Kapatagan (LS),3.7042,9.5566,3.5466,13.4036,1,1,2,4,4,4,4,4
Kasibu,4.9895,10.0809,5.714,13.8621,2,2,3,3,3,3,3,3
Katipunan,4.3867,7.8647,4.643,11.7416,1,1,2,2,2,2,2,2
Kauswagan,7.7965,11.5272,7.9614,15.1718,2,2,3,3,3,3,5,5
Kawayan,7.1775,10.5258,6.3419,9.7102,2,2,3,3,3,3,3,3
Kawit,5.8361,9.85,6.2561,13.2792,2,2,3,3,3,3,3,3
Kayapa,3.4772,4.8171,5.3504,9.6995,1,1,2,2,2,2,2,2
Kiamba,4.2973,10.0137,5.8541,13.9718,2,2,3,3,3,3,3,3
Kiangan,4.5733,9.536,5.5636,12.518,1,1,1,1,1,1,1,1
Kibawe,4.3544,8.1919,5.06,11.9298,1,1,1,1,1,1,1,1
Kiblawan,4.4491,7.9072,4.9754,12.7941,1,1,1,1,1,1,1,1
Kibungan,4.3052,9.167,4.7162,13.9101,1,1,1,1,1,1,1,1
Kidapawan,5.1287,9.6277,7.8922,13.7194,2,2,3,3,3,3,5,5
Kinoguitan,4.4065,9.162,6.385,11.8688,1,1,1,1,1,1,1,1
Kitaotao,4.6527,9.2415,4.5078,13.4437,1,1,1,1,1,1,1,1
Kitcharao,8.0692,8.8352,5.296,12.9887,2,2,3,3,3,3,3,3
Kolambugan,5.1959,11.114,6.5992,13.6207,2,2,3,3,3,3,3,3
