PROVINCE / LGU,economic_dynamism,government,infrastructure,resiliency,if_3_clusters,if_4_clusters,if_5_clusters,if_6_clusters,if_7_clusters,if_8_clusters,if_9_clusters,if_10_clusters
Alicia (ZS),3.6252,9.2725,4.5915,11.7102,1,1,2,4,4,4,4,4
Alimodian,5.1289,11.3743,6.3929,13.3528,2,2,3,3,3,3,3,3
Alitagtag,5.3032,9.7651,5.261,13.3318,2,2,3,3,3,3,3,3
Allacapan,5.8615,10.3518,6.4269,12.9409,2,2,3,3,3,3,3,3
Alilem,4.0775,9.502,3.8726,12.7681,1,1,2,4,4,4,4,4
Allen,6.0657,12.7159,6.6823,13.3519,2,2,3,3,3,3,3,3
Almagro,2.6153,7.83,3.2461,9.7753,1,1,2,4,4,4,4,4
Almeria,6.421,8.1163,5.8059,11.5875,1,1,2,2,2,5,6,6
Aloguinsan,5.4317,5.3806,5.1273,11.9701,1,1,2,2,2,2,2,2
Aloran,4.893,8.3631,5.5471,13.5643,1,1,1,1,1,1,1,1
Altavas,5.8479,7.4802,5.1023,11.5198,1,1,2,2,2,5,6,6
Alubijid,6.248,9.8315,5.0199,13.4685,2,2,3,3,3,3,3,3
Amadeo,6.5116,9.2933,6.2309,12.7295,2,2,3,3,3,3,3,3
Ambaguio,4.393,9.1005,4.6271,12.4821,1,1,1,1,1,1,1,1
Amlan,5.2723,6.3998,5.4418,13.6513,1,1,2,2,2,5,6,6
Ampatuan,3.853,9.3056,4.2476,13.3071,1,1,2,4,4,4,4,4
Amulung,3.5157,4.1599,4.7599,13.3663,1,1,2,2,2,2,2,2
Anahawan,3.8443,9.091,4.9692,9.1439,3,3,4,5,5,6,7,7
Anao,4.9838,9.989,5.4816,12.1149,1,1,1,1,1,1,1,1
Anda (BL),7.1974,10.3827,6.3742,11.5155,2,2,3,3,3,3,3,3
Anda (PS),6.2497,6.9302,4.7546,13.9027,1,1,2,2,2,5,6,6
Angadanan,4.0516,9.5331,5.1275,13.4423,1,1,1,1,1,1,1,1
Angat,4.0699,8.5934,3.797,13.4136,1,1,2,4,4,4,4,4
Angeles,4.1057,8.2712,5.2734,13.3179,1,1,1,1,1,1,1,1
Angono,7.0108,11.4188,8.3175,14.7894,2,2,3,3,3,3,5,5
Anilao,4.794,9.6845,5.1751,13.4383,1,1,1,1,1,1,1,1
Anini-Y,4.9714,7.4843,4.849,10.6087,1,1,2,2,2,2,2,2
Antequera,5.9142,9.3041,5.3563,13.3673,2,2,3,3,3,3,3,3
Antipas,3.9385,9.4146,6.1014,14.006,2,2,3,3,3,3,3,3
Antipolo,10.6333,14.6238,12.7429,14.738,2,4,5,6,6,7,8,8
