"","PLAYER","TEAM","POSITION","center","forward","guard","GP","MIN","2FGM","2FG%","3PM","3P%","FTM","FT%","%midrange","%3points","%inthepaint","DFGM","DIFF%","DEFLECTIONS","CONTESTED SHOTS","LOOSE BALLS RECOVERED","STL","AST","BLK","OREB","DREB","PCs","score"
"1168","Shaun Livingston","GSW","G",FALSE,FALSE,TRUE,64,15.1,1.7,52.4,0,0,0.6,78.4,21.7,0,62.8,2.2,-2.9,0.7,3.2,0.4,0.5,1.8,0.4,0.7,1.2,"others2",-0.4299306
"1169","Shelvin Mack","CHA","G",FALSE,FALSE,TRUE,57,21.9,2,42.9,0.8,35.4,1,69,8.4,32.1,46,3.9,3.4,1,5.6,0.9,0.8,3.2,0.1,0.3,1.5,"shooting1",0.1661587
"1170","Shelvin Mack","CHA","G",FALSE,FALSE,TRUE,57,21.9,2,42.9,0.8,35.4,1,69,8.4,32.1,46,3.9,3.4,1,5.6,0.9,0.8,3.2,0.1,0.3,1.5,"shooting2",-0.8427962
"1171","Shelvin Mack","CHA","G",FALSE,FALSE,TRUE,57,21.9,2,42.9,0.8,35.4,1,69,8.4,32.1,46,3.9,3.4,1,5.6,0.9,0.8,3.2,0.1,0.3,1.5,"others1",0.7866436
"1172","Shelvin Mack","CHA","G",FALSE,FALSE,TRUE,57,21.9,2,42.9,0.8,35.4,1,69,8.4,32.1,46,3.9,3.4,1,5.6,0.9,0.8,3.2,0.1,0.3,1.5,"others2",1.231366
"1173","Solomon Hill","NOP","F",FALSE,TRUE,FALSE,44,20,0.8,46.8,0.7,31.7,0.5,71.9,3.1,50.3,34.6,3.1,-4.7,1,5.4,0.7,0.5,1.3,0.2,0.8,2.3,"shooting1",0.7576221
"1174","Solomon Hill","NOP","F",FALSE,TRUE,FALSE,44,20,0.8,46.8,0.7,31.7,0.5,71.9,3.1,50.3,34.6,3.1,-4.7,1,5.4,0.7,0.5,1.3,0.2,0.8,2.3,"shooting2",-1.731081
"1175","Solomon Hill","NOP","F",FALSE,TRUE,FALSE,44,20,0.8,46.8,0.7,31.7,0.5,71.9,3.1,50.3,34.6,3.1,-4.7,1,5.4,0.7,0.5,1.3,0.2,0.8,2.3,"others1",1.079821
"1176","Solomon Hill","NOP","F",FALSE,TRUE,FALSE,44,20,0.8,46.8,0.7,31.7,0.5,71.9,3.1,50.3,34.6,3.1,-4.7,1,5.4,0.7,0.5,1.3,0.2,0.8,2.3,"others2",-0.5629066
"1177","Spencer Dinwiddie","BKN","G",FALSE,FALSE,TRUE,68,28.1,3.6,52.8,1.8,33.5,4.2,80.6,3.1,32.5,39.2,4.2,0.1,1.2,5.5,0.7,0.6,4.6,0.3,0.4,2.1,"shooting1",0.2321319
"1178","Spencer Dinwiddie","BKN","G",FALSE,FALSE,TRUE,68,28.1,3.6,52.8,1.8,33.5,4.2,80.6,3.1,32.5,39.2,4.2,0.1,1.2,5.5,0.7,0.6,4.6,0.3,0.4,2.1,"shooting2",1.795379
"1179","Spencer Dinwiddie","BKN","G",FALSE,FALSE,TRUE,68,28.1,3.6,52.8,1.8,33.5,4.2,80.6,3.1,32.5,39.2,4.2,0.1,1.2,5.5,0.7,0.6,4.6,0.3,0.4,2.1,"others1",0.4059894
"1180","Spencer Dinwiddie","BKN","G",FALSE,FALSE,TRUE,68,28.1,3.6,52.8,1.8,33.5,4.2,80.6,3.1,32.5,39.2,4.2,0.1,1.2,5.5,0.7,0.6,4.6,0.3,0.4,2.1,"others2",0.7907329
"1181","Stanley Johnson","NOP","F",FALSE,TRUE,FALSE,66,18.3,1.6,48.4,0.9,28.8,0.8,78.1,5.3,41,42.7,2.8,-0.9,1.4,3.3,0.9,0.9,1.3,0.2,0.5,2.8,"shooting1",0.243118
"1182","Stanley Johnson","NOP","F",FALSE,TRUE,FALSE,66,18.3,1.6,48.4,0.9,28.8,0.8,78.1,5.3,41,42.7,2.8,-0.9,1.4,3.3,0.9,0.9,1.3,0.2,0.5,2.8,"shooting2",-0.9493667
"1183","Stanley Johnson","NOP","F",FALSE,TRUE,FALSE,66,18.3,1.6,48.4,0.9,28.8,0.8,78.1,5.3,41,42.7,2.8,-0.9,1.4,3.3,0.9,0.9,1.3,0.2,0.5,2.8,"others1",0.8481039
