"","PLAYER","TEAM","POSITION","center","forward","guard","GP","MIN","2FGM","2FG%","3PM","3P%","FTM","FT%","%midrange","%3points","%inthepaint","DFGM","DIFF%","DEFLECTIONS","CONTESTED SHOTS","LOOSE BALLS RECOVERED","STL","AST","BLK","OREB","DREB","shooting1","shooting2","others1","others2","extreme","label"
"172","James Harden","HOU","G",FALSE,FALSE,TRUE,78,36.8,6,52.8,4.8,36.8,9.7,87.9,2.4,40.2,30.6,6.6,-1.5,3.5,6.8,1.5,2,7.5,0.7,0.8,5.8,1.92491990228851,6.40016028932152,-5.02206896886723,3.29522551063445,FALSE,""
"173","James Johnson","MIA","F",FALSE,TRUE,FALSE,55,21.2,2.1,49.6,0.9,33.6,0.9,71.4,3.3,35,50,3.5,-4.7,1.6,6.3,0.7,0.6,2.5,0.5,0.4,2.8,-0.213022401360972,-0.831674524130765,0.159573148520338,-0.130478957267204,FALSE,""
"174","JaMychal Green","LAC","F",FALSE,TRUE,FALSE,65,21.1,2.5,53,1.1,40.3,1.2,79.2,8.2,34.9,43.9,3.1,-2.2,1.2,4.6,0.6,0.7,0.8,0.5,1.6,4.7,0.37629417535344,0.0246363437990283,0.108125643630955,-1.06762464768011,FALSE,""
"175","Jared Dudley","BKN","F",FALSE,TRUE,FALSE,59,20.7,0.8,54.5,0.9,35.1,0.5,69.6,7,55.4,26.5,3.7,-2,0.9,5.5,0.5,0.6,1.4,0.3,0.6,2.1,1.08666565274306,-1.45078093793642,1.15389198029751,-0.48621056567321,FALSE,""
"176","Jaren Jackson Jr.","MEM","F-C",TRUE,TRUE,FALSE,58,26.1,4.3,55.1,0.9,35.9,2.6,76.6,2,19.2,59.9,4.9,-2.3,1.3,10.8,1.2,0.9,1.1,1.4,1.3,3.4,-1.28241940339945,1.00731898431725,-2.36225522019453,-1.64201805720883,FALSE,""
"177","Jaron Blossomgame","CLE","F",FALSE,TRUE,FALSE,27,16.3,1.4,54.4,0.4,25.6,0.4,76.9,7,26.3,57.9,2.9,-0.4,0.6,3.7,0.3,0.3,0.5,0.3,1,2.7,-1.16678804751285,-1.16821071554282,2.06184839072237,-1.16528086567301,FALSE,""
"178","Jarrett Allen","BKN","C",TRUE,FALSE,FALSE,80,26.2,4.1,62.9,0.1,13.3,2.5,70.9,0.5,2.1,74.9,8.6,0.4,1,15.7,0.7,0.5,1.4,1.5,2.4,6,-3.89207313506753,0.350957772198444,-4.08978449263544,-3.94750982613286,TRUE,"Jarrett Allen"
"179","JaVale McGee","LAL","C",TRUE,FALSE,FALSE,75,22.3,5.3,63.4,0,8.3,1.3,63.2,2.5,0.3,86.5,6.7,-2.9,1.1,11.7,0.6,0.6,0.7,2,2.6,4.9,-4.75570931167957,-0.021953633313855,-3.30041446409263,-4.14272031605044,TRUE,"JaVale McGee"
"180","Jaylen Adams","ATL","G",FALSE,FALSE,TRUE,34,12.6,0.4,36.1,0.7,33.8,0.2,77.8,7.4,69.4,16.7,2,1.2,0.6,2.6,0.5,0.4,1.9,0.1,0.3,1.4,2.55017974110629,-2.05960592927424,2.73203407203408,0.34200604656936,FALSE,""
"181","Jaylen Brown","BOS","G",FALSE,FALSE,TRUE,74,25.9,3.7,52.9,1.3,34.4,1.8,65.8,8.1,29.6,48.5,4.3,-1.4,1.6,5.9,0.9,0.9,1.4,0.4,0.9,3.4,-0.451993502102574,0.362801267477095,-0.456852750989083,0.0812467382389226,FALSE,""
"182","Jayson Tatum","BOS","F",FALSE,TRUE,FALSE,79,31.1,4.4,48.3,1.5,37.3,2.5,85.5,16.3,28,40.1,4.5,-3,1.9,7.6,1.1,1.1,2.1,0.7,0.9,5.2,0.568337823725721,1.7168877036031,-1.97453603423459,-0.00932280785917666,FALSE,""
"183","Jeff Green","WAS","F",FALSE,TRUE,FALSE,77,27.2,2.8,58.9,1.5,35,2.4,88.8,9.5,35.2,35.9,5.9,0.1,0.9,8.9,0.5,0.6,1.8,0.5,0.7,3.3,0.501957741491438,1.13597339645437,-0.341379968210741,-1.10259615932344,FALSE,""
"184","Jeff Teague","MIN","G",FALSE,FALSE,TRUE,42,30.1,3.4,45.3,0.8,33.3,2.9,80.4,8.6,20.6,46.7,5,3.7,2.2,5.3,0.8,1,8.2,0.4,0.4,2.1,-0.340791399141586,0.87232939257314,-1.1148437425493,2.74130114217255,FALSE,""
"185","Jemerrio Jones","LAL","F",FALSE,TRUE,FALSE,6,23.9,1.7,45.5,0.3,20,0.2,50,0,22.2,74.1,5,-5.2,1.7,5.2,1.3,1.2,2.2,0.8,2.7,5.5,-2.34718702770917,-2.32375818869652,-2.87329190233835,-0.721552548568204,FALSE,""
"186","Jerami Grant","OKC","F",FALSE,TRUE,FALSE,80,32.7,3.7,55.4,1.5,39.9,2,71,3.3,31.7,50.6,5.8,0.1,1.1,9.9,1,0.8,1,1.3,1.2,4,-0.231390248261483,0.634987848073365,-2.05045438899852,-1.71922935357707,FALSE,""
"187","Jeremy Lamb","CHA","G",FALSE,FALSE,TRUE,79,28.5,4,48.6,1.5,34.8,2.9,88.8,11.8,28.6,40.6,5.5,3.1,2,6.4,1,1.1,2.2,0.4,0.8,4.7,0.472882878736159,1.6810678085333,-1.51172717566913,0.85965729215173,FALSE,""
"188","Jeremy Lin","TOR","G",FALSE,FALSE,TRUE,74,19.4,2.5,51.7,0.7,29.4,2.4,83.8,9.6,23.3,42.1,4,3.6,1,4.2,0.9,0.6,3.1,0.2,0.3,2.1,-0.386768432958925,0.475571690933981,0.931656985810745,1.04735996915336,FALSE,""
