"","PLAYER","TEAM","POSITION","center","forward","guard","GP","MIN","2FGM","2FG%","3PM","3P%","FTM","FT%","%midrange","%3points","%inthepaint","DFGM","DIFF%","DEFLECTIONS","CONTESTED SHOTS","LOOSE BALLS RECOVERED","STL","AST","BLK","OREB","DREB","shooting1","shooting2","others1","others2","extreme","label"
"304","Nikola Mirotic","MIL","F",FALSE,TRUE,FALSE,46,27.1,2.6,54.5,2.5,36.5,2.3,84.7,7.2,49.9,27.8,6,-0.5,1.3,8.6,0.7,0.7,1.2,0.7,1.3,6.1,1.75845582975054,1.06772204773382,-1.69078283855987,-1.52076147792416,FALSE,""
"305","Nikola Vucevic","ORL","C",TRUE,FALSE,FALSE,80,31.4,7.7,55.2,1,36,2.2,78.9,15.1,15.1,59,8.7,-0.6,1.6,10.7,1,1,3.8,1.1,2.8,9.2,-1.40353222033417,2.45337135537076,-5.25066501426029,-2.00849925164709,FALSE,""
"306","Noah Vonleh","NYK","F",FALSE,TRUE,FALSE,68,25.3,2.3,52.6,0.7,33.8,1.6,71.2,3.5,24.2,52.9,5.2,-2,1.1,8.2,1.1,0.7,1.9,0.8,1.7,6.1,-0.842280968711417,-0.381371144776195,-2.08067919724193,-1.4316766719597,FALSE,""
"307","Norman Powell","TOR","F-G",FALSE,TRUE,TRUE,60,18.8,2.1,54.3,1.1,40,1,82.7,3.1,39.5,45.3,2.6,-2.3,1.1,3.9,0.6,0.7,1.5,0.2,0.3,2.1,0.424845817300456,-0.275775249671518,1.57086786350183,0.273889928954213,FALSE,""
"308","OG Anunoby","TOR","F",FALSE,TRUE,FALSE,67,20.2,1.7,57,1,33.2,0.5,58.1,3,42.9,46.5,3.3,0.4,1.5,5.4,0.6,0.7,0.7,0.3,0.9,2.1,-0.361162938033269,-1.39987597683923,0.859401266213731,-0.103997962917251,FALSE,""
"309","Omari Spellman","ATL","F",FALSE,TRUE,FALSE,46,17.5,1.2,46.6,1,34.4,0.7,71.1,2.9,48.5,36.8,3.5,-6.7,0.7,7.4,0.6,0.6,1,0.5,1.6,2.7,0.833866533235212,-1.36290586348238,0.208000631661471,-1.85537616551148,FALSE,""
"310","Omri Casspi","MEM","F",FALSE,TRUE,FALSE,36,14.5,2,60.2,0.4,34.9,1.1,67.2,0.9,19.9,61.9,2,-5.8,0.9,3.2,0.4,0.6,0.7,0.3,0.5,2.7,-1.69735269394544,-0.806506334849099,1.92836668550631,-0.642169270225311,FALSE,""
"311","Otto Porter Jr.","CHI","F",FALSE,TRUE,FALSE,56,30.1,3.4,50.3,1.9,40.7,1.4,81.3,19.5,40,30.5,5.1,3.7,2.6,6,1.3,1.5,2.1,0.6,1,4.6,1.55007247949176,1.03379446981786,-2.42507412343618,1.60736396414604,FALSE,""
"312","P.J. Tucker","HOU","F",FALSE,TRUE,FALSE,82,34.2,0.7,44.9,1.8,37.7,0.5,69.5,1.3,72.9,19,5.5,-2.5,2.4,8.1,1.3,1.6,1.2,0.5,1.5,4.4,2.60465030468809,-1.58777427097692,-2.91823672304588,0.544862071755073,FALSE,""
"313","Pascal Siakam","TOR","F",FALSE,TRUE,FALSE,80,31.8,5.5,60.2,1,36.9,3,78.5,3.1,17.5,61.9,5.7,-4.9,1.6,10.1,1.4,0.9,3.1,0.7,1.6,5.3,-1.59203126591977,1.81794877773449,-3.09225270700564,-0.716174277489913,FALSE,""
"314","Pat Connaughton","MIL","G",FALSE,FALSE,TRUE,61,20.7,1.6,65.1,1.1,33,0.5,72.5,2.9,47,43.2,3.9,-0.9,0.9,6.4,0.8,0.5,2,0.4,1,3.2,-0.145640042977564,-0.905400241905162,0.257513452048512,-0.616792346049049,FALSE,""
"315","Patrick Beverley","LAC","G",FALSE,FALSE,TRUE,78,27.4,1.1,42.3,1.4,39.9,1.2,78,1,56.4,26.5,4.9,-0.2,2.1,5.6,1.1,0.9,3.8,0.6,1,4,2.02806924219269,-0.961048191681363,-1.59558039374861,0.862458113273839,FALSE,""
"316","Patrick McCaw","TOR","G",FALSE,FALSE,TRUE,29,13.7,0.6,48.6,0.3,32.1,0.4,86.7,2.7,36.5,43.2,2,4.2,1.4,2.1,0.5,0.8,1,0.1,0.2,1.4,0.190323804358354,-1.45518819104541,2.34036738330579,1.23523899229436,FALSE,""
"317","Patrick Patterson","OKC","F",FALSE,TRUE,FALSE,63,13.7,0.6,44.4,0.7,33.8,0.3,63.3,5.2,60.3,26.2,2.9,0.2,0.3,4.5,0.2,0.3,0.5,0.2,0.7,1.7,1.35279140394496,-2.1586392899305,2.60068203147156,-1.12423711792745,FALSE,""
"318","Patty Mills","SAS","G",FALSE,FALSE,TRUE,82,23.3,1.5,47.5,1.9,39.4,1.1,85.4,11.1,58.8,19.2,4.2,2.9,1.1,3.2,0.9,0.6,3,0.1,0.3,1.9,2.60190917376624,-0.10331342946276,1.08695355261211,1.23486168497737,FALSE,""
"319","Pau Gasol","MIL","C-F",TRUE,TRUE,FALSE,30,12,1.2,44.4,0.2,46.2,0.9,70,13.6,15.3,47.5,3.5,1.5,0.2,5.6,0.2,0.2,1.7,0.5,0.7,3.8,-0.0418252826253913,-0.86823751371397,1.62035024014292,-1.5173928287486,FALSE,""
"320","Paul George","OKC","F",FALSE,TRUE,FALSE,77,36.9,5.4,48.6,3.8,38.5,5.9,83.9,12,40.6,26.4,6.2,-2.3,3.8,8.5,2.1,2.2,4.1,0.4,1.4,6.8,2.11416790323211,4.23033420802587,-5.80579193192472,2.97904210137939,FALSE,""
"321","Paul Millsap","DEN","F",FALSE,TRUE,FALSE,70,27.1,3.8,52.1,0.8,36.5,2.6,72.7,7.7,19.7,52.1,5.8,-0.3,2.1,8.6,1,1.2,2,0.8,2.2,5,-0.863992806462783,0.819880436390152,-2.99697766969904,-0.607263350086952,FALSE,""
"322","Quincy Acy","PHX","F",FALSE,TRUE,FALSE,10,12.3,0.2,66.7,0.2,13.3,0.7,70,0,35.3,23.5,2.5,-7.1,0.4,4.7,0.2,0.1,0.8,0.4,0.3,2.2,-1.09412115187719,-1.96379286995608,2.48014901728821,-1.74440039482085,FALSE,""
"323","Quinn Cook","GSW","G",FALSE,FALSE,TRUE,74,14.3,1.6,51.3,1.1,39.8,0.3,76.9,21.6,47.7,26.7,3.1,8.1,0.5,2.5,0.6,0.3,1.6,0,0.3,1.8,1.59609364990405,-0.481365849694341,2.68638484768747,0.699095283377057,FALSE,""
"324","Rajon Rondo","LAL","G",FALSE,FALSE,TRUE,46,29.8,2.7,42.8,1.1,35.9,0.5,63.9,7.5,36.1,50.9,5.5,4.3,2.1,4.5,1.4,1.2,8,0.2,0.7,4.5,0.122141334693763,-0.905798820573029,-2.25501487068691,3.22676290962388,FALSE,""
"325","Raul Neto","UTA","G",FALSE,FALSE,TRUE,37,12.8,1.4,53,0.5,33.3,0.8,84.8,4.1,30.6,51,2.5,0.6,0.7,3.1,0.7,0.4,2.5,0.1,0.2,1.5,-0.346296341909405,-0.787575428929958,2.21986087639058,0.600887084624117,FALSE,""
"326","Rawle Alkins","CHI","G",FALSE,FALSE,TRUE,10,12,1,37,0.3,25,0.8,66.7,0,24.3,54.1,2.7,-3.8,0.2,2.1,0.6,0.1,1.3,0,1.1,1.5,-0.777081765223461,-1.959406739674,2.6499829617225,-0.849037273023585,FALSE,""
"327","Ray Spalding","PHX","F",FALSE,TRUE,FALSE,14,10.5,1.8,56.8,0,0,0.3,33.3,3.7,0,88.9,3.4,2.2,1,4.7,0.3,0.6,0.4,0.6,1.1,2.4,-5.04331695178184,-2.56990252102928,1.22926769862118,-0.947907719055712,FALSE,""
"328","Raymond Felton","OKC","G",FALSE,FALSE,TRUE,33,11.5,1.1,47.3,0.6,32.8,0.4,92.3,19.7,42.3,29.6,2.3,3.7,0.6,2.2,0.3,0.3,1.6,0.2,0.1,0.9,1.3188911254684,-0.579906510555827,3.18525160614453,0.279272297422976,FALSE,""
"329","Reggie Bullock","LAL","G-F",FALSE,TRUE,TRUE,63,29.8,1.5,48.3,2.4,37.7,1.2,85.9,11.5,62.4,15.8,4.7,4.1,0.8,5.4,0.8,0.6,2,0.2,0.3,2.4,2.95406523349942,0.130179708015896,0.860639064089769,0.435370679603343,FALSE,""
"330","Reggie Jackson","DET","G",FALSE,FALSE,TRUE,82,27.9,3.3,46.4,2.1,36.9,2.5,86.4,11.6,41.4,30.8,5.1,5.4,0.9,5.8,0.9,0.7,4.2,0.1,0.5,2.1,1.60922716163952,1.32756392095752,0.283395807343182,1.21729569386875,FALSE,""
"331","Ricky Rubio","UTA","G",FALSE,FALSE,TRUE,68,27.9,3.1,45.3,1.2,32,2.9,85.5,16.4,27.4,33.6,5.2,4,3,5.8,1.5,1.3,6.1,0.1,0.5,3.1,0.638490777584278,1.22606844078398,-2.24431249299399,3.57743523443916,FALSE,""
"332","RJ Hunter","BOS","G",FALSE,FALSE,TRUE,1,25.7,2,66.7,4,40,1,50,11.8,70.6,11.8,3,-23.3,2,5,0,1,3,0,1,2,2.69494586722282,0.223782167616318,0.442637750770249,-0.922347206629049,FALSE,""
"333","Robert Covington","MIN","F",FALSE,TRUE,FALSE,35,34.4,2,51.8,2.4,37.8,1.9,76.4,6,54.8,24.5,5.8,-0.9,3.7,8,1.1,2.1,1.3,1.3,0.8,4.7,1.99825520135585,0.322765214031222,-4.17912433114016,1.24784177151981,FALSE,""
"334","Robin Lopez","CHI","C",TRUE,FALSE,FALSE,74,21.7,4,59.2,0.1,22.6,1.2,72.4,4.5,3,79.8,6.4,-3,0.3,9.7,0.4,0.1,1.2,1.1,1.9,2,-3.34066243916918,-0.0323473452872786,-0.468211507554958,-3.42355858637315,FALSE,""
"335","Rodions Kurucs","BKN","F",FALSE,TRUE,FALSE,63,20.5,2.3,54.3,0.9,31.5,1.1,78.3,1.9,32.6,52.1,3.6,-3.6,1.7,5.5,0.7,0.7,0.8,0.4,0.9,3,-0.529201142188399,-0.459851197532583,0.205377713369594,-0.386610661417752,FALSE,""
"336","Rodney Hood","POR","G",FALSE,FALSE,TRUE,72,26.3,2.9,47.8,1.2,35.6,1.9,88.4,21.4,31.3,30.3,3.6,0.8,1.5,4.8,0.5,0.8,1.8,0.2,0.3,1.8,1.08773377173605,1.00847670044227,1.1154863911972,0.647940401838527,FALSE,""
"337","Rodney McGruder","LAC","F-G",FALSE,TRUE,TRUE,66,23.5,1.6,45.3,1.2,34.8,0.8,72.2,2.8,47.1,39.8,3.7,0.2,0.7,5.4,0.8,0.5,1.7,0.2,0.9,2.7,0.842133859686771,-1.08431590385868,0.902200109692082,-0.312384024643691,FALSE,""
"338","Ron Baker","WAS","G",FALSE,FALSE,TRUE,15,10.1,0.2,42.9,0.1,7.7,0.3,83.3,14.3,21.4,28.6,2.3,2.4,0.9,1.5,0.5,0.4,1,0.1,0.1,0.7,-0.433227839801596,-1.78256781607434,3.03927436238371,0.64030201419177,FALSE,""
"339","Rondae Hollis-Jefferson","BKN","F",FALSE,TRUE,FALSE,59,20.9,3.2,43.6,0.1,18.4,2,64.5,4.6,5.1,67.9,4.5,1.7,1.3,6.9,0.8,0.7,1.6,0.5,1.4,3.8,-2.57263082195477,-0.516043675610314,-0.558666111940422,-0.560797550357453,FALSE,""
"340","Royce O'Neale","UTA","F",FALSE,TRUE,FALSE,82,20.4,1.2,56.9,0.8,38.2,0.4,76.2,0.9,47.9,43.7,3.6,2,1,4.3,0.7,0.7,1.5,0.3,0.3,3.2,0.334374428227697,-1.24902672985728,0.995691792357741,0.314657321275921,FALSE,""
"341","Rudy Gay","SAS","F",FALSE,TRUE,FALSE,69,26.7,4.4,53.7,1.1,40.2,1.7,81.6,23,23.5,40.8,3.9,-2.6,1.8,6.2,0.8,0.8,2.6,0.5,0.9,5.9,0.207476242668259,1.4794225597635,-1.0874435658523,-0.125226214227577,FALSE,""
"342","Russell Westbrook","OKC","G",FALSE,FALSE,TRUE,73,36,7,48.1,1.6,29.1,4.1,65.6,13.5,21.3,47.5,4.9,0.5,3.1,4.7,1.8,1.9,10.7,0.5,1.5,9.6,-0.880604419904679,2.62727428644896,-5.5888934573927,3.96482720657885,FALSE,""
"343","Ryan Anderson","MIA","F",FALSE,TRUE,FALSE,25,12.9,0.5,41.4,0.4,22.5,0.5,75,15.9,42.9,22.2,2.2,-0.4,0,2.8,0.2,0.2,0.8,0,0.7,1.4,0.947369872384355,-1.65563698963695,3.40108169053218,-0.901404912967209,FALSE,""
"344","Ryan Arcidiacono","CHI","G",FALSE,FALSE,TRUE,81,24.2,1.3,52.6,1,37.5,1.1,87.3,6.3,44.7,32.7,3.9,2.3,1.2,4.4,0.8,0.8,3.3,0,0.3,2.4,1.08787805967558,-0.434007889111307,0.808539921496929,1.34151395434083,FALSE,""
"345","Ryan Broekhoff","DAL","G-F",FALSE,TRUE,TRUE,42,10.8,0.5,57.6,0.9,40.4,0.4,78.9,3.6,68.3,19.2,1.6,-4.6,0.2,2.3,0.3,0.1,0.5,0.1,0.2,1.3,1.8951697335259,-1.43778195614002,3.60126046000741,-0.930299876089707,FALSE,""
"346","Salah Mejri","DAL","C",TRUE,FALSE,FALSE,36,11.1,1.2,56.4,0.3,32.4,0.6,62.5,0,23.4,62.4,3.9,1.2,0.6,6.3,0.4,0.3,1,0.7,1,2.6,-1.61734377774565,-1.61427177635618,1.02589375095191,-1.55791396677958,FALSE,""
"347","Sam Dekker","WAS","F",FALSE,TRUE,FALSE,47,16.8,2,51.4,0.4,30.6,0.6,60.9,4.2,19.9,66.2,3.3,3.6,1,4.7,1,0.8,1,0.1,1.1,2,-1.69777783899306,-1.31500328190453,0.849040010681093,0.524316699702106,FALSE,""
"348","Semi Ojeleye","BOS","F",FALSE,TRUE,FALSE,56,10.6,0.7,56.5,0.5,31.5,0.4,61.5,3.2,45.2,38.7,1.9,-0.2,0.2,2.6,0.3,0.2,0.4,0.1,0.4,1.1,-0.172374876627248,-1.93724523654984,3.48074005926967,-0.674185301070571,FALSE,""
"349","Serge Ibaka","TOR","C-F",TRUE,TRUE,FALSE,74,27.2,5.6,58.7,0.7,29,1.8,76.3,19.4,13.2,55.2,6.9,-2,0.7,11.7,0.8,0.4,1.3,1.4,2.1,6,-1.63431551196894,1.52250187721275,-2.8214120123314,-3.5145465105143,FALSE,""
"350","Seth Curry","POR","G",FALSE,FALSE,TRUE,74,18.9,1.3,46.3,1.5,45,0.6,84.6,16.2,58.3,17.9,2.8,-1.4,1.1,2.9,0.7,0.5,0.9,0.2,0.4,1.3,2.81783340277462,-0.358403006474186,1.95234086730626,0.221343124052034,FALSE,""
"351","Shabazz Napier","BKN","G",FALSE,FALSE,TRUE,56,17.6,1.7,44.9,1.4,33.3,2.1,83.3,9.1,43.1,26.1,3.6,0.4,1.5,3.4,0.7,0.7,2.6,0.3,0.3,1.5,1.46172732664604,0.0899539689243409,1.06763471006912,0.973646713367595,FALSE,""
"352","Shai Gilgeous-Alexander","LAC","G",FALSE,FALSE,TRUE,82,26.5,3.5,50.3,0.6,36.7,1.9,80,16.2,17.2,49,4.5,-0.8,1.9,6.9,1.2,1.2,3.3,0.5,0.7,2.1,-0.508997320097514,0.773215218700217,-1.28050651005992,1.24145877504636,FALSE,""
"353","Shake Milton","PHI","G",FALSE,FALSE,TRUE,20,13.4,1,46.5,0.7,31.8,0.3,71.4,11.5,48.3,34.5,2.1,4,0.5,2.7,0.3,0.4,0.9,0.4,0.5,1.3,0.84190467917362,-1.4979434156344,2.83416837798447,-0.270571856896084,FALSE,""
"354","Shaquille Harrison","CHI","G",FALSE,FALSE,TRUE,73,19.6,2.2,47.8,0.3,27,1.1,66.7,0.8,15.2,66.7,3.8,0.2,2,5.2,1.1,1.2,1.9,0.4,0.5,2.6,-1.87347809705789,-1.09791090433023,-0.552207260798068,1.33334735293357,FALSE,""
"355","Shaun Livingston","GSW","G",FALSE,FALSE,TRUE,64,15.1,1.7,52.4,0,0,0.6,78.4,21.7,0,62.8,2.2,-2.9,0.7,3.2,0.4,0.5,1.8,0.4,0.7,1.2,-2.90714455073592,-0.828216586053341,2.13011502787346,-0.42993059033656,FALSE,""
"356","Shelvin Mack","CHA","G",FALSE,FALSE,TRUE,57,21.9,2,42.9,0.8,35.4,1,69,8.4,32.1,46,3.9,3.4,1,5.6,0.9,0.8,3.2,0.1,0.3,1.5,0.166158737373357,-0.842796163397296,0.786643640094261,1.23136607039146,FALSE,""
"357","Solomon Hill","NOP","F",FALSE,TRUE,FALSE,44,20,0.8,46.8,0.7,31.7,0.5,71.9,3.1,50.3,34.6,3.1,-4.7,1,5.4,0.7,0.5,1.3,0.2,0.8,2.3,0.757622149563836,-1.73108138314384,1.07982100625235,-0.562906563759632,FALSE,""
"358","Spencer Dinwiddie","BKN","G",FALSE,FALSE,TRUE,68,28.1,3.6,52.8,1.8,33.5,4.2,80.6,3.1,32.5,39.2,4.2,0.1,1.2,5.5,0.7,0.6,4.6,0.3,0.4,2.1,0.23213189296717,1.79537903744594,0.405989426204571,0.790732857141719,FALSE,""
"359","Stanley Johnson","NOP","F",FALSE,TRUE,FALSE,66,18.3,1.6,48.4,0.9,28.8,0.8,78.1,5.3,41,42.7,2.8,-0.9,1.4,3.3,0.9,0.9,1.3,0.2,0.5,2.8,0.243118032826964,-0.949366745182651,0.848103862237356,0.804886843508527,FALSE,""
"360","Stephen Curry","GSW","G",FALSE,FALSE,TRUE,69,33.8,4,53.1,5,43.2,3.8,91.6,9,56.5,20.5,4.7,0.6,2.4,5.2,1.5,1.3,5.2,0.4,0.7,4.7,3.63459358785426,3.46859607743715,-2.37338214031595,2.40692886562579,FALSE,""
"361","Sterling Brown","MIL","G",FALSE,FALSE,TRUE,58,17.8,1.6,55.8,0.9,36.1,0.5,69,3.8,42.7,45.7,3,3,1.3,3.7,0.8,0.4,1.4,0.1,0.5,2.7,0.00727420513690002,-1.13927298885105,1.47624980456381,0.550242293809777,FALSE,""
"362","Steven Adams","OKC","C",TRUE,FALSE,FALSE,80,33.4,6,59.6,0,0,1.8,50,2.7,0,84.1,8.6,-1.7,2.2,14.2,1.5,1.5,1.6,1,4.9,4.6,-5.2195097976615,-0.111268417005784,-6.3844013573109,-2.31275151947385,TRUE,"Steven Adams"
"363","Svi Mykhailiuk","DET","G",FALSE,FALSE,TRUE,42,10.5,0.4,34,0.7,32.6,0.3,60,9,65.4,16.5,1.7,-2.9,0.6,2.7,0.3,0.3,0.9,0,0.2,0.6,2.16536513113107,-2.45746456507059,3.38882116102576,-0.222582242787222,FALSE,""
"364","T.J. McConnell","PHI","G",FALSE,FALSE,TRUE,76,19.3,2.7,55.1,0.2,32.6,0.4,78.4,29.8,8.7,55.5,3.6,1.2,1.9,3.4,0.8,1,3.4,0.2,0.4,1.9,-1.13081956327558,0.171942774307036,0.415135590241517,1.78620049614829,FALSE,""
"365","T.J. Warren","PHX","F",FALSE,TRUE,FALSE,43,31.6,5.1,51,1.8,42.8,2.3,81.5,9.3,29.9,47.7,4.7,6.1,2.1,5.6,1,1.2,1.5,0.7,0.7,3.3,0.382784574442564,1.77510305966296,-1.05874844000515,1.10890697419599,FALSE,""
"366","Taj Gibson","MIN","F",FALSE,TRUE,FALSE,70,24.1,4.2,58.1,0.2,32.4,1.9,75.7,7.7,4.4,70.1,5,1.4,1.2,8,1,0.8,1.2,0.6,2.5,4.1,-2.45953637943225,0.670283780368643,-1.5962634700067,-1.27148345197529,FALSE,""
"367","Taurean Prince","ATL","F",FALSE,TRUE,FALSE,55,28.2,2.5,49.8,2.2,39,1.7,81.9,8.4,49.7,29.1,4.2,2.8,2,4.8,0.9,1,2.1,0.3,0.4,3.2,1.85515133722166,0.559196287239239,-0.216781288535012,1.32254610990818,FALSE,""
"368","Terrance Ferguson","OKC","G",FALSE,FALSE,TRUE,74,26.1,1.1,56.1,1.4,36.3,0.5,72.5,3.5,62,27.3,4.3,0.9,0.8,6.8,0.6,0.5,1,0.2,0.4,1.5,1.42679957115966,-1.18873810000248,1.25254915053278,-0.382782869984783,FALSE,""
"369","Terrence Ross","ORL","G-F",FALSE,TRUE,TRUE,81,26.5,2.8,48.1,2.7,38.2,1.6,87.5,23.1,53.2,13.4,4.2,1.2,1.5,5.3,0.8,0.9,1.7,0.4,0.3,3.1,3.02619588864872,1.32912919438699,0.111982318002455,0.59583270129389,FALSE,""
"370","Terry Rozier","BOS","G",FALSE,FALSE,TRUE,79,22.7,1.8,42.4,1.5,35.3,0.9,78.5,6.5,50.4,32.8,3.6,0.8,1.2,3.5,0.8,0.9,2.9,0.3,0.4,3.5,1.57836464105334,-0.653157687700084,0.440432237643689,0.94113035562828,FALSE,""
"371","Thabo Sefolosha","UTA","F",FALSE,TRUE,FALSE,50,12.2,0.7,51.5,0.7,43.6,0.3,63.6,6.3,53.7,32.6,1.8,-3.3,1.3,2.2,0.6,0.9,0.5,0.1,0.2,2.3,1.10948667032774,-1.74574638293826,1.94221098695269,0.619417409611534,FALSE,""
"372","Thaddeus Young","IND","F",FALSE,TRUE,FALSE,81,30.7,4.8,56.4,0.6,34.9,1.1,64.4,2.1,14.9,74.4,5.6,-1.4,3.3,9.3,1.2,1.5,2.5,0.4,2.4,4.1,-2.29903584852587,0.116014198555398,-3.68415159039735,0.757662602867309,FALSE,""
"373","Theo Pinson","BKN","G-F",FALSE,TRUE,TRUE,18,11.7,0.7,48.1,0.7,26.1,1.1,86.4,2.5,44.4,29.6,2,-7.5,0.4,2.7,0.6,0.3,1.2,0,0.2,1.8,0.735580107478009,-1.13991801836325,2.71028496090944,-0.474239841467548,FALSE,""
"374","Thomas Bryant","WAS","C",TRUE,FALSE,FALSE,72,20.8,3.8,68.4,0.5,34.7,1.5,78.1,8.2,13.1,64.6,6.1,0.7,0.7,9.3,0.6,0.3,1.3,0.9,1.6,4.7,-2.11977393852633,0.709581366436063,-1.08335765321282,-2.44860379289466,FALSE,""
"375","Thon Maker","DET","F",FALSE,TRUE,FALSE,64,15.2,0.9,52.2,0.8,32,0.9,66.7,2.5,45.5,34.7,3.7,-1.2,0.6,6.8,0.4,0.3,0.7,0.8,0.6,2.5,0.338054026538246,-1.48833671404502,1.0901365935855,-1.73405687170869,FALSE,""
"376","Tim Frazier","MIL","G",FALSE,FALSE,TRUE,59,19,1.3,49.4,0.6,36.6,0.7,75.9,9.7,35.8,41.3,3.9,4.6,1.2,3.3,0.7,0.5,4.2,0.1,0.7,2.2,0.343675917801762,-0.960137544364889,1.04899559187112,1.22321798795584,FALSE,""
"377","Tim Hardaway Jr.","DAL","G",FALSE,FALSE,TRUE,65,31.6,3.5,44.2,2.5,33.8,3.6,84.1,14.3,41.4,24.5,5.3,2.1,1.3,6.9,1.1,0.8,2.4,0.1,0.5,2.9,1.89181808023356,1.97771715812477,-0.384459264858451,0.80540518033704,FALSE,""
"378","Timothe Luwawu-Cabarrot","CHI","G-F",FALSE,TRUE,TRUE,50,13.4,0.9,45.5,0.7,31,0.6,75.6,5.2,46.8,34.6,2.4,3.1,0.4,2.5,0.4,0.4,0.5,0.2,0.2,1.7,0.780781633737972,-1.49505866945229,2.95155722839947,-0.112163571801411,FALSE,""
"379","Tobias Harris","PHI","F",FALSE,TRUE,FALSE,82,34.7,5.5,52.8,1.9,39.5,3.2,86.6,12.3,28.5,43.1,6,0.5,1.1,8.5,0.9,0.6,2.8,0.5,0.8,7,0.400398559957039,2.56447343478366,-1.71772724567753,-0.767375802723256,FALSE,""
"380","Tomas Satoransky","WAS","G-F",FALSE,TRUE,TRUE,80,27,2.4,52.1,0.8,38.1,1.6,81.9,6.5,27.1,48,4.9,4.2,1.7,5.9,1,1,5,0.2,1,2.5,-0.131869003589236,0.0900838751487781,-0.869192792281437,1.7243149951955,FALSE,""
"381","Tony Parker","CHA","G",FALSE,FALSE,TRUE,56,17.9,3.6,48.5,0.2,25.5,1.6,73.4,24.9,7.4,50.6,1.9,-1.5,0.5,2.1,0.4,0.4,3.7,0.1,0.3,1.2,-1.36416342999346,0.490216298047238,2.70883308472424,0.519373537110564,FALSE,""
"382","Tony Snell","MIL","G",FALSE,FALSE,TRUE,74,17.6,1.1,52.2,1.1,39.7,0.5,88.1,3.6,54.7,33.3,2.9,1.1,0.8,4.4,0.5,0.4,0.9,0.2,0.4,1.7,1.50046308214443,-0.84908873834183,2.10664257537307,-0.222039251180769,FALSE,""
"383","Torrey Craig","DEN","F",FALSE,TRUE,FALSE,75,20,1.3,56.9,0.8,32.4,0.7,70,2.8,42.6,43.3,3.5,-1.7,1,5.6,1,0.5,1,0.6,1.2,2.3,-0.134933402667395,-1.22672940232176,0.300393589441048,-0.768825371074878,FALSE,""
"384","Trae Young","ATL","G",FALSE,FALSE,TRUE,81,30.9,4.6,47.6,1.9,32.4,4.2,82.9,6.2,30.2,41.4,5.7,4.4,1.3,5.3,1.4,0.9,8.1,0.2,0.8,2.9,0.302523416194743,2.22173762987395,-1.5274781613101,2.56372028205477,FALSE,""
"385","Treveon Graham","BKN","F",FALSE,TRUE,FALSE,35,20.4,0.7,41.3,1.1,29.7,0.5,81.8,5.4,62,22.8,3.6,-2.6,0.5,5.5,0.9,0.4,1,0.2,0.7,2.4,1.99398388333974,-1.51026248545228,1.15566904346882,-0.674838485896294,FALSE,""
"386","Trevor Ariza","WAS","F",FALSE,TRUE,FALSE,69,34,2.2,49.5,2.1,33.6,1.9,79.3,3.7,50.4,30.8,5.3,6.7,2.4,5.5,1.2,1.3,3.7,0.3,0.7,4.7,1.46555104609849,0.20899866537187,-1.86391304033139,2.27178667484236,FALSE,""
"387","Trey Burke","DAL","G",FALSE,FALSE,TRUE,58,19.4,3.1,46.1,1,35,1.8,83.1,19.7,26.6,37.4,3.2,-0.7,0.9,4,0.7,0.6,2.7,0.1,0.5,1.2,0.546982212071039,0.760485931246312,1.54436916999113,0.581589332615899,FALSE,""
"388","Trey Lyles","DEN","F",FALSE,TRUE,FALSE,64,17.5,2.4,52.7,0.8,24.9,1.3,69.8,8.1,28,49.1,3.3,-1.7,0.6,5.8,0.5,0.5,1.4,0.4,0.7,3.2,-0.886402264282669,-0.502704210066944,1.09627650915827,-0.959571805298727,FALSE,""
"389","Troy Brown Jr.","WAS","F",FALSE,TRUE,FALSE,52,14,1.4,45.3,0.4,30.8,0.6,68.1,11.3,26.6,49.2,3,0.2,0.8,3.3,0.6,0.4,1.5,0.1,0.7,2.1,-0.434283719874939,-1.28336382981663,1.91251249164233,-0.0375635601380572,FALSE,""
"390","Troy Daniels","PHX","G",FALSE,FALSE,TRUE,51,14.9,0.8,48.1,1.4,38.1,0.4,78.3,11.3,69.8,13.2,2.4,2.9,0.7,2.5,0.4,0.5,0.5,0.1,0.3,1.2,2.7264596785634,-1.14073361919894,2.87365085669826,0.207234684855148,FALSE,""
"391","Troy Williams","SAC","F",FALSE,TRUE,FALSE,21,14.9,1.4,55.6,0.7,31.8,0.4,60,1.8,37.8,52.3,2.6,6.6,0.9,3.2,0.7,0.5,0.5,0.4,0.6,2.2,-0.763400924820849,-1.6463173025882,1.87634457107143,0.222217437014005,FALSE,""
"392","Tyler Dorsey","MEM","G",FALSE,FALSE,TRUE,48,14.5,1.3,47.7,0.9,33.3,0.8,62.3,8.1,44.6,34.5,2.8,5.5,0.7,3,0.7,0.3,1.2,0,0.6,1.8,0.568105108363067,-1.36458174787647,2.38510041049474,0.419021646730541,FALSE,""
"393","Tyler Johnson","PHX","G",FALSE,FALSE,TRUE,57,26.8,2.2,47.7,1.6,34.6,1.7,74.8,4.5,43.6,36.5,4.4,1.8,1.5,6.7,1.3,0.9,2.9,0.5,0.6,2.4,0.918066182906209,-0.135525296318281,-0.803874232841946,0.979307325250013,FALSE,""
