"","PROVINCE / LGU","economic_dynamism","government","infrastructure","resiliency","cluster"
"224","Bokod",5.2839,9.5755,5.4172,12.9215,2
"225","Bolinao",4.5882,7.6102,5.5085,13.7066,1
"226","Boliney",3.8048,4.2851,4.5166,10.5398,3
"227","Boljoon",6.0244,9.33,6.4851,12.346,2
"228","Bombon",2.8781,1.52,0.7232,0,3
"229","Bongabon",3.7502,9.4989,5.378,12.8684,1
"230","Bongabong",3.9518,9.142,6.2384,12.8372,2
"231","Bongao",4.1501,6.3608,4.2385,11.2398,1
"232","Bonifacio",4.3919,8.2387,5.6906,12.1674,1
"233","Bontoc (MP)",4.4234,8.8287,6.4951,13.4307,2
"234","Bontoc (SL)",5.4874,7.0807,4.3199,11.7158,1
"235","Borbon",5.2372,5.2049,5.4765,12.1543,1
"236","Borongan",6.9518,8.683,3.8757,13.2729,2
"237","Boston",4.4132,8.111,5.0794,11.8076,1
"238","Botolan",3.7054,9.0988,5.284,12.0262,1
"239","Braulio E. Dujali",5.3962,9.8656,4.3146,13.2928,2
"240","Buadiposo-Buntong",3.6008,8.1263,3.4674,11.3256,1
"241","Bubong",3.7101,8.284,5.0561,12.2806,1
"242","Bucay",6.8083,10.0655,5.563,13.5605,2
"243","Bucloc",3.6096,8.1023,2.5252,6.7419,3
"244","Buenavista (AN)",5.6596,7.3342,5.7092,12.3097,1
"245","Buenavista (BL)",5.2638,9.9798,5.0953,13.4463,2
"246","Buenavista (GS)",4.8043,8.9771,5.5374,13.7212,2
"247","Buenavista (ME)",4.0788,8.0137,5.2838,13.5061,1
"248","Buenavista (QN)",6.5035,8.3168,4.7089,13.8961,2
"249","Bugallon",4.4016,7.6063,5.1125,13.592,1
"250","Bugasong",5.0548,9.3012,5.0689,13.3363,2
"251","Buguey",4.7204,9.4415,4.8027,13.5238,2
"252","Buguias",7.1184,10.4707,5.8073,12.865,2
"253","Buhi",2.5659,6.6436,5.3061,13.249,1
"254","Bula",2.8045,5.8653,4.913,11.6685,1
"255","Bulakan",5.0276,7.7528,5.1842,13.151,1
"256","Bulalacao",3.4818,8.5595,3.7449,12.3099,1
"257","Bulan",4.0864,5.6036,4.4275,12.7481,1
"258","Buldon",2.9998,9.4525,4.952,13.3576,1
"259","Buluan",4.3723,7.9521,5.1368,13.3019,1
"260","Bulusan",4.0309,7.3832,4.612,13.2589,1
"261","Bumbaran",4.4898,8.7086,3.7252,13.2277,1
"262","Bunawan",4.7637,9.2472,5.2037,10.7711,1
"263","Burauen",4.8201,9.5683,5.2438,13.4151,2
"264","Burdeos",3.7729,6.3133,5.8429,12.1872,1
"265","Burgos (IA)",2.8061,9.5601,5.3435,12.3589,1
"266","Burgos (IN)",5.6046,10.8984,7.0086,13.958,2
"267","Burgos (IS)",4.6579,8.9466,4.003,13.4403,1
"268","Burgos (LU)",4.5336,10.4406,4.7881,14.5584,2
"269","Burgos (PS)",5.0655,9.0757,5.4487,12.8228,2
"270","Burgos (SN)",5.0425,9.0583,5.3161,13.0986,2
"271","Buruanga",4.4479,10.1487,5.9727,13.4308,2
"272","Bustos",5.1533,9.0924,5.3951,13.1368,2
"273","Busuanga",5.9518,9.4765,5.2721,13.5305,2
"274","Butig",3.8674,8.0725,2.6672,11.1911,1
"275","Butuan",5.9144,8.7635,4.9936,12.4966,2
"276","Buug",6.8068,9.9861,5.2968,13.4398,2
"277","Caba",4.8346,9.4261,5.1211,13.6938,2
